Base Model,Dataset,Config,Original_Subdir,Mean P_500
Pythia-12B,arxiv,awq-b4-gs32-zp1,_scratch_ar7789_llm_quant_saved_qmodels_tmp_EleutherAI_pythia-12b-deduped-awq-b4-gs32-zp1,0.08673148919165777
Pythia-12B,arxiv,gptq-b4-gs128-da0,_scratch_ar7789_llm_quant_saved_qmodels_tmp_EleutherAI_pythia-12b-deduped-gptq-b4-gs128-da0,0.09737787990886082
Pythia-12B,arxiv,gptq-b8-gs-1-da1,_scratch_ar7789_llm_quant_saved_qmodels_tmp_EleutherAI_pythia-12b-deduped-gptq-b8-gs-1-da1,0.105004753813525
Pythia-12B,arxiv,gptq-b8-gs128-da1,_scratch_ar7789_llm_quant_saved_qmodels_tmp_EleutherAI_pythia-12b-deduped-gptq-b8-gs128-da1,0.11586456376027791
Pythia-12B,arxiv,EleutherAI_pythia-12b-deduped,EleutherAI_pythia-12b-deduped,0.12171275443265668
Pythia-12B,arxiv,gptq-b4-gs32-da0,_scratch_ar7789_llm_quant_saved_qmodels_tmp_EleutherAI_pythia-12b-deduped-gptq-b4-gs32-da0,0.12224087570057111
Pythia-12B,arxiv,static-4bit-nf4-dq-float32,_scratch_ar7789_llm_quant_saved_qmodels_tmp_EleutherAI_pythia-12b-deduped-static-4bit-nf4-dq-float32,0.1275520533548179
Pythia-12B,arxiv,gptq-b8-gs-1-da0,_scratch_ar7789_llm_quant_saved_qmodels_tmp_EleutherAI_pythia-12b-deduped-gptq-b8-gs-1-da0,0.13053422763901132
Pythia-12B,arxiv,static-4bit-nf4-dq-float16,_scratch_ar7789_llm_quant_saved_qmodels_tmp_EleutherAI_pythia-12b-deduped-static-4bit-nf4-dq-float16,0.13267996270810525
Pythia-12B,arxiv,static-4bit-fp4-bfloat16,_scratch_ar7789_llm_quant_saved_qmodels_tmp_EleutherAI_pythia-12b-deduped-static-4bit-fp4-dq-bfloat16,0.1599163646663772
Pythia-12B,arxiv,static-4bit-fp4-dq-float16,_scratch_ar7789_llm_quant_saved_qmodels_tmp_EleutherAI_pythia-12b-deduped-static-4bit-fp4-dq-float16,0.16806704462279276
Pythia-12B,arxiv,gptq-b8-gs64-da0,_scratch_ar7789_llm_quant_saved_qmodels_tmp_EleutherAI_pythia-12b-deduped-gptq-b8-gs64-da0,0.16884093149993773
Pythia-12B,arxiv,gptq-b8-gs32-da1,_scratch_ar7789_llm_quant_saved_qmodels_tmp_EleutherAI_pythia-12b-deduped-gptq-b8-gs32-da1,0.17333011132344622
Pythia-12B,arxiv,gptq-b3-gs-1-da0,_scratch_ar7789_llm_quant_saved_qmodels_tmp_EleutherAI_pythia-12b-deduped-gptq-b3-gs-1-da0,0.18212904286865578
Pythia-12B,arxiv,gptq-b4-gs64-da0,_scratch_ar7789_llm_quant_saved_qmodels_tmp_EleutherAI_pythia-12b-deduped-gptq-b4-gs64-da0,0.19930445856637
Pythia-12B,arxiv,static-4bit-nf4-bfloat16,_scratch_ar7789_llm_quant_saved_qmodels_tmp_EleutherAI_pythia-12b-deduped-static-4bit-nf4-bfloat16,0.21491324802875011
Pythia-12B,arxiv,gptq-b4-gs-1-da0,_scratch_ar7789_llm_quant_saved_qmodels_tmp_EleutherAI_pythia-12b-deduped-gptq-b4-gs-1-da0,0.21894367478632568
Pythia-12B,arxiv,gptq-b4-gs128-da1,_scratch_ar7789_llm_quant_saved_qmodels_tmp_EleutherAI_pythia-12b-deduped-gptq-b4-gs128-da1,0.22580721529566744
Pythia-12B,arxiv,gptq-b4-gs32-da1,_scratch_ar7789_llm_quant_saved_qmodels_tmp_EleutherAI_pythia-12b-deduped-gptq-b4-gs32-da1,0.23085670346723242
Pythia-12B,arxiv,gptq-b4-gs64-da1,_scratch_ar7789_llm_quant_saved_qmodels_tmp_EleutherAI_pythia-12b-deduped-gptq-b4-gs64-da1,0.23096383162011663
Pythia-12B,arxiv,gptq-b3-gs64-da0,_scratch_ar7789_llm_quant_saved_qmodels_tmp_EleutherAI_pythia-12b-deduped-gptq-b3-gs64-da0,0.23362339665376833
Pythia-12B,arxiv,gptq-b8-gs64-da1,_scratch_ar7789_llm_quant_saved_qmodels_tmp_EleutherAI_pythia-12b-deduped-gptq-b8-gs64-da1,0.24979147882877206
Pythia-12B,arxiv,static-4bit-fp4-float16,_scratch_ar7789_llm_quant_saved_qmodels_tmp_EleutherAI_pythia-12b-deduped-static-4bit-fp4-float16,0.26458167665376986
Pythia-12B,arxiv,gptq-b8-gs128-da0,_scratch_ar7789_llm_quant_saved_qmodels_tmp_EleutherAI_pythia-12b-deduped-gptq-b8-gs128-da0,0.29466374389029315
Pythia-12B,arxiv,static-4bit-nf4-dq-bfloat16,_scratch_ar7789_llm_quant_saved_qmodels_tmp_EleutherAI_pythia-12b-deduped-static-4bit-nf4-dq-bfloat16,0.3047977542544106
Pythia-12B,arxiv,static-4bit-nf4-float16,_scratch_ar7789_llm_quant_saved_qmodels_tmp_EleutherAI_pythia-12b-deduped-static-4bit-nf4-float16,0.31223738597785355
Pythia-12B,arxiv,awq-b4-gs64-zp1,_scratch_ar7789_llm_quant_saved_qmodels_tmp_EleutherAI_pythia-12b-deduped-awq-b4-gs64-zp1,0.32564007680353657
Pythia-12B,arxiv,static-4bit-fp4-bfloat16,_scratch_ar7789_llm_quant_saved_qmodels_tmp_EleutherAI_pythia-12b-deduped-static-4bit-fp4-bfloat16,0.3573870230821206
Pythia-12B,arxiv,gptq-b3-gs128-da1,_scratch_ar7789_llm_quant_saved_qmodels_tmp_EleutherAI_pythia-12b-deduped-gptq-b3-gs128-da1,0.3602228274200749
Pythia-12B,arxiv,gptq-b3-gs-1-da1,_scratch_ar7789_llm_quant_saved_qmodels_tmp_EleutherAI_pythia-12b-deduped-gptq-b3-gs-1-da1,0.3631574101506702
Pythia-12B,arxiv,gptq-b8-gs32-da0,_scratch_ar7789_llm_quant_saved_qmodels_tmp_EleutherAI_pythia-12b-deduped-gptq-b8-gs32-da0,0.3717006155203789
Pythia-12B,arxiv,static-4bit-fp4-dq-float32,_scratch_ar7789_llm_quant_saved_qmodels_tmp_EleutherAI_pythia-12b-deduped-static-4bit-fp4-dq-float32,0.37713445105498444
Pythia-12B,arxiv,gptq-b4-gs-1-da1,_scratch_ar7789_llm_quant_saved_qmodels_tmp_EleutherAI_pythia-12b-deduped-gptq-b4-gs-1-da1,0.3829735355194356
Pythia-12B,arxiv,static-4bit-nf4-float32,_scratch_ar7789_llm_quant_saved_qmodels_tmp_EleutherAI_pythia-12b-deduped-static-4bit-nf4-float32,0.43270135899817397
Pythia-12B,arxiv,gptq-b3-gs32-da0,_scratch_ar7789_llm_quant_saved_qmodels_tmp_EleutherAI_pythia-12b-deduped-gptq-b3-gs32-da0,0.4355644227340253
Pythia-12B,arxiv,gptq-b3-gs128-da0,_scratch_ar7789_llm_quant_saved_qmodels_tmp_EleutherAI_pythia-12b-deduped-gptq-b3-gs128-da0,0.4359177539702187
